Sigla;Código;Município;Renda familiar - per capita - média (1991);Alfabetizados - pessoas 15 anos e mais (1991);
MA;2111003;São João Batista;0,22;54,54;
MA;2111029;São João do Carú;;27,192;
MA;2111052;São João do Paraíso;;55,557;
MA;2111078;São João do Soter;;30,152;
MA;2111102;São João dos Patos;0,36;59,849;
MA;2111201;São José de Ribamar;0,48;79,148;
MA;2111250;São José dos Basílios;;42,453;
MA;2111300;São Luís;1,08;89,051;
MA;2111409;São Luís Gonzaga do Maranhão;0,37;40,867;
MA;2111508;São Mateus do Maranhão;0,31;48,624;
MA;2111532;São Pedro da Água Branca;;42,674;
MA;2111573;São Pedro dos Crentes;;62,68;
MA;2111607;São Raimundo das Mangabeiras;0,35;63,5;
MA;2111631;São Raimundo do Doca Bezerra;;36,215;
MA;2111672;São Roberto;;39,508;
MA;2111706;São Vicente Ferrer;0,23;46,644;
MA;2111722;Satubinha;;34,32;
MA;2111748;Senador Alexandre Costa;;39,156;
MA;2111763;Senador La Rocque;;44,697;
MA;2111789;Serrano do Maranhão;;44,003;
MA;2111805;Sítio Novo;0,3;61,28;
MA;2111904;Sucupira do Norte;0,21;57,211;
MA;2111953;Sucupira do Riachão;;44,475;
MA;2112001;Tasso Fragoso;0,17;60,722;
MA;2112100;Timbiras;0,23;32,932;
MA;2112209;Timon;0,44;63,652;
MA;2112233;Trizidela do Vale;;54,056;
MA;2112274;Tufilândia;;35,416;
MA;2112308;Tuntum;0,29;47,989;
MA;2112407;Turiaçu;0,3;49,141;
MA;2112456;Turilândia;;35,55;
MA;2112506;Tutóia;0,26;46,172;
MA;2112605;Urbano Santos;0,25;45,217;
MA;2112704;Vargem Grande;0,23;39,832;
MA;2112803;Viana;0,26;61,703;
MA;2112852;Vila Nova dos Martírios;;42,314;
MA;2112902;Vitória do Mearim;0,27;52,605;
MA;2113009;Vitorino Freire;0,41;48,74;
MA;2114007;Zé Doca;0,32;58,87;
MG;3100104;Abadia dos Dourados;0,73;78,055;
MG;3100203;Abaeté;0,76;83,395;
MG;3100302;Abre Campo;0,41;76,257;
MG;3100401;Acaiaca;0,61;73,123;
MG;3100500;Açucena;0,45;61,616;
MG;3100609;Água Boa;0,38;43,196;
MG;3100708;Água Comprida;0,84;84,428;
MG;3100807;Aguanil;0,59;75,83;
MG;3100906;Águas Formosas;0,5;53,323;
MG;3101003;Águas Vermelhas;0,5;49,183;
MG;3101102;Aimorés;0,7;74,847;
MG;3101201;Aiuruoca;0,76;75,824;
MG;3101300;Alagoa;0,83;76,335;
MG;3101409;Albertina;0,95;73,318;
MG;3101508;Além Paraíba;1,17;85,569;
MG;3101607;Alfenas;1,41;87,238;
MG;3101631;Alfredo Vasconcelos;;79,939;
MG;3101706;Almenara;0,66;58,277;
MG;3101805;Alpercata;0,44;69,185;
MG;3101904;Alpinópolis;0,96;82,264;
MG;3102001;Alterosa;0,61;77,989;
MG;3102050;Alto Caparaó;;77,582;
MG;3102100;Alto Rio Doce;0,38;74,689;
MG;3102209;Alvarenga;0,38;70,406;
MG;3102308;Alvinópolis;0,73;82,447;
MG;3102407;Alvorada de Minas;0,37;63,369;
MG;3102506;Amparo do Serra;0,44;71,241;
MG;3102605;Andradas;1,42;81,502;
MG;3102704;Cachoeira de Pajeú;0,41;52,563;
MG;3102803;Andrelândia;0,73;78,881;
MG;3102852;Angelândia;;55,517;
MG;3102902;Antônio Carlos;0,53;76,363;
MG;3103009;Antônio Dias;0,5;69,19;
MG;3103108;Antônio Prado de Minas;0,43;79,907;
MG;3103207;Araçaí;0,89;85,552;
MG;3103306;Aracitaba;0,64;74,596;
MG;3103405;Araçuaí;0,52;65,449;
MG;3103504;Araguari;1,28;88,892;
MG;3103603;Arantina;0,54;75,622;
MG;3103702;Araponga;0,36;57,648;
MG;3103751;Araporã;;81,884;
MG;3103801;Arapuá;0,78;81,678;
MG;3103900;Araújos;0,76;82,323;
MG;3104007;Araxá;1,29;88,948;
MG;3104106;Arceburgo;0,89;78,332;
MG;3104205;Arcos;0,9;87,329;
MG;3104304;Areado;0,9;81,743;
MG;3104403;Argirita;0,49;78,595;
MG;3104452;Aricanduva;;51,226;
MG;3104502;Arinos;0,5;69,205;
MG;3104601;Astolfo Dutra;0,84;82,01;
MG;3104700;Ataléia;0,35;55,787;
MG;3104809;Augusto de Lima;0,44;72,566;
MG;3104908;Baependi;0,7;78,669;
MG;3105004;Baldim;0,67;80,271;
MG;3105103;Bambuí;0,93;83,949;
MG;3105202;Bandeira;0,31;47,373;
MG;3105301;Bandeira do Sul;0,87;80,731;
MG;3105400;Barão de Cocais;0,8;86,327;
MG;3105509;Barão de Monte Alto;0,46;75,342;
MG;3105608;Barbacena;1,12;88,25;
MG;3105707;Barra Longa;0,55;75,573;
MG;3105905;Barroso;0,67;88,307;
MG;3106002;Bela Vista de Minas;0,53;85,57;
MG;3106101;Belmiro Braga;0,74;75,84;
MG;3106200;Belo Horizonte;2,34;92,879;
MG;3106309;Belo Oriente;0,53;73,931;
MG;3106408;Belo Vale;0,5;81,022;
MG;3106507;Berilo;0,51;66,452;
MG;3106606;Bertópolis;0,34;51,911;
MG;3106655;Berizal;;53,911;
MG;3106705;Betim;0,93;84,867;
MG;3106804;Bias Fortes;0,49;78,029;
MG;3106903;Bicas;1,26;88,137;
MG;3107000;Biquinhas;0,62;77,944;
MG;3107109;Boa Esperança;1,12;82,877;
MG;3107208;Bocaina de Minas;0,65;77,718;
MG;3107307;Bocaiúva;0,61;73,118;
MG;3107406;Bom Despacho;1,13;86,967;
MG;3107505;Bom Jardim de Minas;0,83;80,946;
MG;3107604;Bom Jesus da Penha;0,86;78,859;
MG;3107703;Bom Jesus do Amparo;0,56;79,753;
MG;3107802;Bom Jesus do Galho;0,39;70,451;
MG;3107901;Bom Repouso;0,78;78,23;
MG;3108008;Bom Sucesso;0,67;77,077;
MG;3108107;Bonfim;0,55;79,214;
MG;3108206;Bonfinópolis de Minas;0,74;76,201;
MG;3108255;Bonito de Minas;;50,705;
MG;3108305;Borda da Mata;1,01;85,109;
MG;3108404;Botelhos;1,05;81,249;
MG;3108503;Botumirim;0,47;67,887;
MG;3108552;Brasilândia de Minas;;73,211;
MG;3108602;Brasília de Minas;0,38;69,107;
MG;3108701;Brás Pires;0,34;76,246;
MG;3108800;Braúnas;0,46;70,856;
MG;3108909;Brasópolis;0,66;80,106;
MG;3109006;Brumadinho;0,95;84,819;
MG;3109105;Bueno Brandão;0,89;78,427;
MG;3109204;Buenópolis;0,48;68,61;
MG;3109253;Bugre;;67,148;
MG;3109303;Buritis;0,52;70,684;
MG;3109402;Buritizeiro;0,45;69,605;
MG;3109451;Cabeceira Grande;;72,306;
MG;3109501;Cabo Verde;0,89;78,364;
MG;3109600;Cachoeira da Prata;1,18;90,556;
MG;3109709;Cachoeira de Minas;0,61;84,099;
MG;3109808;Cachoeira Dourada;0,59;71,623;
MG;3109907;Caetanópolis;0,91;90,032;
MG;3110004;Caeté;0,86;89,23;
MG;3110103;Caiana;0,51;70,882;
MG;3110202;Cajuri;0,34;73,702;
MG;3110301;Caldas;1,08;83,266;
MG;3110400;Camacho;0,63;69,365;
MG;3110509;Camanducaia;1,06;75,442;
MG;3110608;Cambuí;1,04;84,291;
MG;3110707;Cambuquira;0,95;81,519;
MG;3110806;Campanário;0,49;68,254;
MG;3110905;Campanha;0,97;84,454;
MG;3111002;Campestre;0,85;82,164;
MG;3111101;Campina Verde;0,95;83,475;
MG;3111150;Campo Azul;;63,827;
MG;3111200;Campo Belo;0,88;81,381;
MG;3111309;Campo do Meio;0,86;80,307;
MG;3111408;Campo Florido;1,44;81,011;
MG;3111507;Campos Altos;1,06;79,633;
MG;3111606;Campos Gerais;0,8;78,365;
MG;3111705;Canaã;0,3;67,536;
MG;3111804;Canápolis;0,85;80,584;
MG;3111903;Cana Verde;0,63;75,372;
MG;3112000;Candeias;0,62;72,637;
MG;3112059;Cantagalo;;60,931;
MG;3112109;Caparaó;0,74;71,676;
MG;3112208;Capela Nova;0,54;81,484;
MG;3112307;Capelinha;0,53;60,867;
MG;3112406;Capetinga;0,91;79,223;
MG;3112505;Capim Branco;0,8;87,305;
MG;3112604;Capinópolis;1,08;77,631;
MG;3112653;Capitão Andrade;;66,277;
MG;3112703;Capitão Enéas;0,5;63,868;
MG;3112802;Capitólio;1,02;84,204;
MG;3112901;Caputira;0,38;73,31;
MG;3113008;Caraí;0,32;48,875;
MG;3113107;Caranaíba;0,35;81,906;
MG;3113206;Carandaí;0,67;84,555;
MG;3113305;Carangola;0,78;80,59;
MG;3113404;Caratinga;0,64;78,543;
MG;3113503;Carbonita;0,49;59,967;
MG;3113602;Careaçu;0,8;78,587;
MG;3113701;Carlos Chagas;0,67;58,398;
MG;3113800;Carmésia;0,51;71,497;
MG;3113909;Carmo da Cachoeira;0,79;74,072;
MG;3114006;Carmo da Mata;0,69;82,86;
MG;3114105;Carmo de Minas;0,82;75,13;
MG;3114204;Carmo do Cajuru;0,71;84,648;
MG;3114303;Carmo do Paranaíba;0,98;83,812;
MG;3114402;Carmo do Rio Claro;0,72;81,744;
MG;3114501;Carmópolis de Minas;0,6;85,067;
MG;3114550;Carneirinho;;74,908;
MG;3114600;Carrancas;0,7;83,028;
MG;3114709;Carvalhópolis;0,63;82,42;
MG;3114808;Carvalhos;0,6;73,89;
MG;3114907;Casa Grande;0,36;80,286;
MG;3115003;Cascalho Rico;0,91;84,148;
MG;3115102;Cássia;1,17;79,346;
MG;3115201;Conceição da Barra de Minas;0,36;82,996;
MG;3115300;Cataguases;0,99;86,834;
MG;3115359;Catas Altas;;81,4;
MG;3115409;Catas Altas da Noruega;0,3;75,588;
MG;3115458;Catuji;;46,494;
MG;3115474;Catuti;;46,305;
MG;3115508;Caxambu;1,01;89,339;
MG;3115607;Cedro do Abaeté;0,56;75,833;
MG;3115706;Central de Minas;0,53;63,706;
MG;3115805;Centralina;0,77;82,003;
MG;3115904;Chácara;0,87;76,452;
MG;3116001;Chalé;0,5;69,7;
MG;3116100;Chapada do Norte;0,42;46,005;
MG;3116159;Chapada Gaúcha;;55,859;
MG;3116209;Chiador;0,5;71,015;
MG;3116308;Cipotânea;0,28;73,431;
MG;3116407;Claraval;0,91;80,903;
MG;3116506;Claro dos Poções;0,36;70,409;
MG;3116605;Cláudio;0,75;85,461;
MG;3116704;Coimbra;0,57;78,924;
MG;3116803;Coluna;0,42;60,016;
MG;3116902;Comendador Gomes;1,26;85,499;
MG;3117009;Comercinho;0,27;59,054;
MG;3117108;Conceição da Aparecida;0,74;83,563;
MG;3117207;Conceição das Pedras;0,91;78,162;
MG;3117306;Conceição das Alagoas;1,24;81,275;
MG;3117405;Conceição de Ipanema;0,59;66,937;
MG;3117504;Conceição do Mato Dentro;0,47;64,557;
MG;3117603;Conceição do Pará;0,76;82,33;
MG;3117702;Conceição do Rio Verde;0,72;75,529;
MG;3117801;Conceição dos Ouros;0,7;81,951;
MG;3117836;Cônego Marinho;;62,182;
MG;3117876;Confins;;85,647;
MG;3117900;Congonhal;1,07;75,408;
MG;3118007;Congonhas;1,04;89,049;
MG;3118106;Congonhas do Norte;0,4;62,416;
MG;3118205;Conquista;0,75;85,553;
MG;3118304;Conselheiro Lafaiete;1,06;91,812;
MG;3118403;Conselheiro Pena;0,61;70,985;
MG;3118502;Consolação;0,53;77,307;
MG;3118601;Contagem;1,2;91,69;
MG;3118700;Coqueiral;0,75;81,58;
MG;3118809;Coração de Jesus;0,36;70,181;
MG;3118908;Cordisburgo;0,6;78,291;
MG;3119005;Cordislândia;0,77;77,544;
MG;3119104;Corinto;0,83;79,06;
MG;3119203;Coroaci;0,35;70,652;
MG;3119302;Coromandel;0,98;83,937;
MG;3119401;Coronel Fabriciano;1,09;86,688;
MG;3119500;Coronel Murta;0,36;66,048;
MG;3119609;Coronel Pacheco;0,62;79,328;
MG;3119708;Coronel Xavier Chaves;0,45;86,181;
MG;3119807;Córrego Danta;0,87;80,071;
MG;3119906;Córrego do Bom Jesus;0,68;80,665;
MG;3119955;Córrego Fundo;;80,646;
MG;3120003;Córrego Novo;0,37;68,716;
MG;3120102;Couto de Magalhães de Minas;0,71;72,543;
MG;3120151;Crisólita;;42,58;
MG;3120201;Cristais;0,78;78,469;
MG;3120300;Cristália;0,34;51,405;
MG;3120409;Cristiano Otoni;0,57;85,496;
MG;3120508;Cristina;0,85;79,043;
MG;3120607;Crucilândia;1,3;75,482;
MG;3120706;Cruzeiro da Fortaleza;0,94;82,584;
MG;3120805;Cruzília;0,8;82,951;
MG;3120839;Cuparaque;;63,5;
MG;3120870;Curral de Dentro;;53,748;
MG;3120904;Curvelo;0,86;83,885;
MG;3121001;Datas;0,53;75,229;
MG;3121100;Delfim Moreira;0,77;77,4;
MG;3121209;Delfinópolis;0,77;75,885;
MG;3121258;Delta;;84,735;
MG;3121308;Descoberto;0,54;81,496;
MG;3121407;Desterro de Entre Rios;0,4;74,486;
MG;3121506;Desterro do Melo;0,5;72,17;
MG;3121605;Diamantina;0,83;79,449;
MG;3121704;Diogo de Vasconcelos;0,44;65,712;
MG;3121803;Dionísio;0,54;78,214;
MG;3121902;Divinésia;0,41;73,768;
MG;3122009;Divino;0,6;73,988;
MG;3122108;Divino das Laranjeiras;0,46;68,169;
MG;3122207;Divinolândia de Minas;0,37;68,757;
MG;3122306;Divinópolis;1,24;91,132;
MG;3122355;Divisa Alegre;;52,312;
MG;3122405;Divisa Nova;1,13;77,561;
MG;3122454;Divisópolis;;40,057;
MG;3122470;Dom Bosco;;75,584;
MG;3122504;Dom Cavati;0,83;80,11;
MG;3122603;Dom Joaquim;0,39;65,1;
MG;3122702;Dom Silvério;0,45;82,873;
MG;3122801;Dom Viçoso;0,64;80,528;
MG;3122900;Dona Eusébia;0,63;82,626;
MG;3123007;Dores de Campos;0,69;84,491;
MG;3123106;Dores de Guanhães;0,45;62,185;
MG;3123205;Dores do Indaiá;1,27;79,543;
MG;3123304;Dores do Turvo;0,43;71,468;
MG;3123403;Doresópolis;0,61;84,685;
MG;3123502;Douradoquara;0,86;80,601;
MG;3123528;Durandé;;68,991;
MG;3123601;Elói Mendes;1,14;79,119;
MG;3123700;Engenheiro Caldas;0,62;71,737;
MG;3123809;Engenheiro Navarro;0,48;66,878;
MG;3123858;Entre Folhas;;70,857;
MG;3123908;Entre Rios de Minas;0,56;82,991;
MG;3124005;Ervália;0,46;69,925;
MG;3124104;Esmeraldas;0,66;82,174;
MG;3124203;Espera Feliz;0,69;72,36;
MG;3124302;Espinosa;0,41;57,858;
MG;3124401;Espírito Santo do Dourado;0,74;78,468;
MG;3124500;Estiva;0,92;79,846;
MG;3124609;Estrela Dalva;0,94;69,021;
MG;3124708;Estrela do Indaiá;1,01;74,686;
MG;3124807;Estrela do Sul;0,77;79,145;
MG;3124906;Eugenópolis;0,63;73,984;
MG;3125002;Ewbank da Câmara;0,64;79,856;
MG;3125101;Extrema;1,24;81,87;
MG;3125200;Fama;1,08;86,057;
MG;3125309;Faria Lemos;0,59;70,45;
MG;3125408;Felício dos Santos;0,25;65,599;
MG;3125507;São Gonçalo do Rio Preto;0,38;67,325;
MG;3125606;Felisburgo;0,43;53,305;
MG;3125705;Felixlândia;0,78;77,796;
MG;3125804;Fernandes Tourinho;0,36;64,583;
MG;3125903;Ferros;0,56;65,13;
MG;3125952;Fervedouro;;63,366;
MG;3126000;Florestal;1,08;82,397;
MG;3126109;Formiga;0,96;86,145;
MG;3126208;Formoso;0,6;57,913;
MG;3126307;Fortaleza de Minas;0,78;77,208;
MG;3126406;Fortuna de Minas;0,62;83,929;
MG;3126505;Francisco Badaró;0,28;57,313;
MG;3126604;Francisco Dumont;0,54;66,148;
MG;3126703;Francisco Sá;0,45;62,148;
MG;3126752;Franciscópolis;;44,73;
MG;3126802;Frei Gaspar;0,23;48,965;
MG;3126901;Frei Inocêncio;0,72;69,993;
MG;3126950;Frei Lagonegro;;50,691;
MG;3127008;Fronteira;1,29;83,434;
MG;3127057;Fronteira dos Vales;0,33;49,096;
MG;3127073;Fruta de Leite;;36,084;
MG;3127107;Frutal;1,34;84,93;
MG;3127206;Funilândia;1,1;78,329;
MG;3127305;Galiléia;0,57;68,349;
MG;3127339;Gameleiras;;48,776;
MG;3127354;Glaucilândia;;69,221;
MG;3127370;Goiabeira;;62,45;
MG;3127388;Goianá;;79,469;
MG;3127404;Gonçalves;0,84;75,454;
MG;3127503;Gonzaga;0,38;66,469;
MG;3127602;Gouveia;0,59;84,868;
MG;3127701;Governador Valadares;1,23;84,241;
MG;3127800;Grão Mogol;0,48;55,757;
MG;3127909;Grupiara;0,79;79,932;
MG;3128006;Guanhães;0,63;73,974;
MG;3128105;Guapé;0,68;81,599;
MG;3128204;Guaraciaba;0,36;67,923;
MG;3128253;Guaraciama;;71,467;
MG;3128303;Guaranésia;0,9;79,68;
MG;3128402;Guarani;0,78;78,904;
MG;3128501;Guarará;0,74;79,737;
MG;3128600;Guarda-Mor;1,05;80,16;
MG;3128709;Guaxupé;1,31;85,974;
MG;3128808;Guidoval;0,64;74,93;
MG;3128907;Guimarânia;0,98;85,303;
MG;3129004;Guiricema;0,51;78,079;
MG;3129103;Gurinhatã;0,77;78,658;
MG;3129202;Heliodora;0,64;71,856;
MG;3129301;Iapu;0,51;71,151;
MG;3129400;Ibertioga;0,71;70,82;
MG;3129509;Ibiá;0,96;84,022;
MG;3129608;Ibiaí;0,38;67,62;
MG;3129657;Ibiracatu;;46,055;
MG;3129707;Ibiraci;1,08;76,521;
MG;3129806;Ibirité;0,68;84,705;
MG;3129905;Ibitiúra de Minas;0,97;79,525;
MG;3130002;Ibituruna;0,79;78,455;
MG;3130051;Icaraí de Minas;;61,058;
MG;3130101;Igarapé;0,76;84,125;
MG;3130200;Igaratinga;0,88;85,644;
MG;3130309;Iguatama;0,89;88,136;
MG;3130408;Ijaci;0,49;82,97;
MG;3130507;Ilicínea;0,7;80,799;
MG;3130556;Imbé de Minas;;63,098;
MG;3130606;Inconfidentes;1,02;80,116;
MG;3130655;Indaiabira;;44,143;
MG;3130705;Indianópolis;0,86;80,075;
MG;3130804;Ingaí;0,8;83,833;
MG;3130903;Inhapim;0,55;72,965;
MG;3131000;Inhaúma;0,67;81,527;
MG;3131109;Inimutaba;0,61;77,233;
MG;3131158;Ipaba;;69,818;
MG;3131208;Ipanema;0,6;72,246;
MG;3131307;Ipatinga;1,23;88,331;
MG;3131406;Ipiaçu;0,72;76,641;
MG;3131505;Ipuiúna;1,99;79,174;
MG;3131604;Iraí de Minas;1,38;85,324;
MG;3131703;Itabira;1,18;85,898;
MG;3131802;Itabirinha de Mantena;0,55;62,327;
MG;3131901;Itabirito;1,06;89,982;
MG;3132008;Itacambira;0,25;77,859;
MG;3132107;Itacarambi;0,32;62,264;
MG;3132206;Itaguara;0,83;84,089;
MG;3132305;Itaipé;0,3;48,593;
MG;3132404;Itajubá;1,39;90,816;
MG;3132503;Itamarandiba;0,45;60,374;
MG;3132602;Itamarati de Minas;0,6;79,398;
MG;3132701;Itambacuri;0,58;60,94;
MG;3132800;Itambé do Mato Dentro;0,5;59,377;
MG;3132909;Itamogi;0,87;80,312;
MG;3133006;Itamonte;0,7;86,14;
MG;3133105;Itanhandu;1,28;89,014;
MG;3133204;Itanhomi;0,53;67,322;
MG;3133303;Itaobim;0,42;60,454;
MG;3133402;Itapagipe;1,14;83,68;
MG;3133501;Itapecerica;0,77;80,578;
MG;3133600;Itapeva;1,17;80,052;
MG;3133709;Itatiaiuçu;0,68;77,226;
MG;3133758;Itaú de Minas;1,13;88,292;
MG;3133808;Itaúna;1,2;89,834;
MG;3133907;Itaverava;0,49;73,599;
MG;3134004;Itinga;0,29;56,625;
MG;3134103;Itueta;0,48;76,476;
MG;3134202;Ituiutaba;1,33;84,743;
MG;3134301;Itumirim;0,63;81,985;
MG;3134400;Iturama;1,05;81,531;
MG;3134509;Itutinga;0,71;86,875;
MG;3134608;Jaboticatubas;0,67;72,272;
MG;3134707;Jacinto;0,38;55,139;
MG;3134806;Jacuí;0,68;78,998;
MG;3134905;Jacutinga;1,1;79,721;
MG;3135001;Jaguaraçu;0,57;78,989;
MG;3135050;Jaíba;;60,421;
MG;3135076;Jampruca;;55,472;
MG;3135100;Janaúba;0,62;71,73;
MG;3135209;Januária;0,48;67,359;
MG;3135308;Japaraíba;0,6;85,495;
MG;3135357;Japonvar;;49,298;
MG;3135407;Jeceaba;0,51;78,756;
MG;3135456;Jenipapo de Minas;;52,078;
MG;3135506;Jequeri;0,43;68,8;
MG;3135605;Jequitaí;0,48;62,757;
MG;3135704;Jequitibá;0,46;73,367;
MG;3135803;Jequitinhonha;0,47;55,78;
MG;3135902;Jesuânia;0,58;75,468;
MG;3136009;Joaíma;0,47;48,263;
MG;3136108;Joanésia;0,34;67,819;
MG;3136207;João Monlevade;1,04;91,2;
MG;3136306;João Pinheiro;0,75;77,161;
MG;3136405;Joaquim Felício;0,44;65,522;
MG;3136504;Jordânia;0,56;56,949;
MG;3136520;José Gonçalves de Minas;;58,826;
MG;3136553;José Raydan;;51,354;
MG;3136579;Josenópolis;;48,353;
MG;3136603;Nova União;0,47;76,192;
MG;3136652;Juatuba;;80,499;
MG;3136702;Juiz de Fora;1,78;92,446;
MG;3136801;Juramento;0,41;69,464;
MG;3136900;Juruaia;0,69;84,017;
MG;3136959;Juvenília;;56,078;
MG;3137007;Ladainha;0,27;44,648;
MG;3137106;Lagamar;0,67;80,934;
MG;3137205;Lagoa da Prata;0,83;86,179;
MG;3137304;Lagoa dos Patos;0,54;57,813;
MG;3137403;Lagoa Dourada;0,6;86,707;
MG;3137502;Lagoa Formosa;0,86;82,841;
MG;3137536;Lagoa Grande;;78,667;
MG;3137601;Lagoa Santa;1,14;87,677;
MG;3137700;Lajinha;0,64;67,371;
MG;3137809;Lambari;0,84;84,019;
MG;3137908;Lamim;0,36;76,526;
MG;3138005;Laranjal;0,58;76,381;
MG;3138104;Lassance;0,53;71,483;
MG;3138203;Lavras;1,29;90,413;
MG;3138302;Leandro Ferreira;0,76;75,959;
MG;3138351;Leme do Prado;;56,013;
MG;3138401;Leopoldina;0,9;83,564;
MG;3138500;Liberdade;0,75;70,216;
MG;3138609;Lima Duarte;0,75;78,35;
MG;3138625;Limeira do Oeste;;69,47;
MG;3138658;Lontra;;49,187;
MG;3138674;Luisburgo;;65,171;
MG;3138682;Luislândia;;59,602;
MG;3138708;Luminárias;0,59;84,068;
MG;3138807;Luz;1,53;83,494;
MG;3138906;Machacalis;0,5;58,335;
MG;3139003;Machado;1,16;83,455;
MG;3139102;Madre de Deus de Minas;0,64;84,37;
MG;3139201;Malacacheta;0,37;55,132;
MG;3139250;Mamonas;;52,737;
MG;3139300;Manga;0,49;57,147;
MG;3139409;Manhuaçu;0,83;80,464;
MG;3139508;Manhumirim;0,72;76,633;
MG;3139607;Mantena;0,62;69,998;
MG;3139706;Maravilhas;1,03;83,437;
MG;3139805;Mar de Espanha;0,72;82,463;
MG;3139904;Maria da Fé;0,79;83,47;
MG;3140001;Mariana;0,96;84,053;
MG;3140100;Marilac;0,42;61,478;
MG;3140159;Mário Campos;;81,061;
MG;3140209;Maripá de Minas;0,76;82,833;
MG;3140308;Marliéria;0,44;74,11;
MG;3140407;Marmelópolis;0,47;78,851;
MG;3140506;Martinho Campos;0,75;84,127;
MG;3140530;Martins Soares;;75,197;
MG;3140555;Mata Verde;;39,411;
MG;3140605;Materlândia;0,45;56,661;
MG;3140704;Mateus Leme;0,79;81,253;
MG;3140803;Matias Barbosa;0,97;83,81;
MG;3140852;Matias Cardoso;;52,019;
MG;3140902;Matipó;0,58;67,224;
MG;3141009;Mato Verde;0,41;60,866;
MG;3141108;Matozinhos;0,75;86,193;
MG;3141207;Matutina;1,07;76,715;
MG;3141306;Medeiros;1,23;85,455;
MG;3141405;Medina;0,45;55,747;
MG;3141504;Mendes Pimentel;0,46;59,699;
MG;3141603;Mercês;0,52;70,522;
MG;3141702;Mesquita;0,54;70,345;
MG;3141801;Minas Novas;0,34;45,28;
MG;3141900;Minduri;0,58;83,558;
MG;3142007;Mirabela;0,46;68,833;
MG;3142106;Miradouro;0,49;70,849;
MG;3142205;Miraí;0,68;76,545;
MG;3142254;Miravânia;;48,096;
MG;3142304;Moeda;0,54;81,166;
MG;3142403;Moema;0,79;85,619;
MG;3142502;Monjolos;0,46;66,385;
MG;3142601;Monsenhor Paulo;1,02;80,773;
MG;3142700;Montalvânia;0,7;60,92;
MG;3142809;Monte Alegre de Minas;1,18;81,175;
MG;3142908;Monte Azul;0,38;63,664;
MG;3143005;Monte Belo;0,72;74,888;
MG;3143104;Monte Carmelo;1,18;85,117;
MG;3143153;Monte Formoso;;44,988;
MG;3143203;Monte Santo de Minas;0,92;78,918;
MG;3143302;Montes Claros;0,96;84,547;
MG;3143401;Monte Sião;1,07;80,674;
MG;3143450;Montezuma;;49,205;
MG;3143500;Morada Nova de Minas;0,76;83,615;
MG;3143609;Morro da Garça;0,43;73,725;
MG;3143708;Morro do Pilar;0,52;57,591;
MG;3143807;Munhoz;0,79;74,848;
MG;3143906;Muriaé;1,04;83,227;
MG;3144003;Mutum;0,43;65,756;
MG;3144102;Muzambinho;1;86,293;
MG;3144201;Nacip Raydan;0,44;65,664;
MG;3144300;Nanuque;0,8;71,403;
MG;3144359;Naque;;73,519;
MG;3144375;Natalândia;;72,185;
MG;3144409;Natércia;0,67;84,105;
MG;3144508;Nazareno;0,52;83,173;
MG;3144607;Nepomuceno;0,96;78,948;
MG;3144656;Ninheira;;36,652;
MG;3144672;Nova Belém;;54,554;
MG;3144706;Nova Era;1,07;82,675;
MG;3144805;Nova Lima;1,41;91,356;
MG;3144904;Nova Módica;0,49;55,764;
MG;3145000;Nova Ponte;1,28;87,261;
MG;3145059;Nova Porteirinha;;69,263;
MG;3145109;Nova Resende;0,95;78,36;
MG;3145208;Nova Serrana;1,09;86,122;
MG;3145307;Novo Cruzeiro;0,29;43,513;
MG;3145356;Novo Oriente de Minas;;47,539;
MG;3145372;Novorizonte;;55,481;
MG;3145406;Olaria;0,53;70,566;
MG;3145455;Olhos-d'Água;;55,223;
MG;3145505;Olímpio Noronha;0,92;77,24;
MG;3145604;Oliveira;0,85;86,213;
MG;3145703;Oliveira Fortes;0,52;72,368;
MG;3145802;Onça de Pitangui;0,61;77,783;
MG;3145851;Oratórios;;70,818;
MG;3145877;Orizânia;;69,095;
MG;3145901;Ouro Branco;1,4;89,704;
MG;3146008;Ouro Fino;1,01;81,14;
MG;3146107;Ouro Preto;1,03;88,495;
MG;3146206;Ouro Verde de Minas;0,3;50,534;
MG;3146255;Padre Carvalho;;44,555;
MG;3146305;Padre Paraíso;0,41;58,187;
MG;3146404;Paineiras;0,69;79,504;
MG;3146503;Pains;0,98;84,172;
MG;3146552;Pai Pedro;;43,519;
MG;3146602;Paiva;0,55;71,758;
MG;3146701;Palma;0,67;78,824;
MG;3146750;Palmópolis;;48,328;
MG;3146909;Papagaios;1,08;77,997;
MG;3147006;Paracatu;0,94;82,819;
MG;3147105;Pará de Minas;1,12;89,158;
MG;3147204;Paraguaçu;0,85;84,733;
MG;3147303;Paraisópolis;0,91;81,141;
MG;3147402;Paraopeba;0,77;86,502;
MG;3147501;Passabém;0,42;71,925;
MG;3147600;Passa Quatro;0,82;86,027;
MG;3147709;Passa Tempo;0,84;85,285;
MG;3147808;Passa-Vinte;0,51;77,404;
MG;3147907;Passos;1,38;86,635;
MG;3147956;Patis;;50,018;
MG;3148004;Patos de Minas;1,26;87,931;
MG;3148103;Patrocínio;1,04;86,943;
MG;3148202;Patrocínio do Muriaé;0,75;79,464;
MG;3148301;Paula Cândido;0,46;76,392;
MG;3148400;Paulistas;0,43;64,794;
MG;3148509;Pavão;0,44;59,36;
